'milliseconds','x','y','z'
1383992719171,-8.0,0.0,10.0
1383992719183,-7.666893482208252,0.0,9.997278213500977
1383992719199,-7.33401346206665,0.0,9.991835594177246
1383992719219,-7.001359939575195,0.0,9.983674049377441
1383992719233,-6.6689324378967285,0.0,9.972796440124512
1383992719252,-6.33673095703125,0.0,9.959203720092773
1383992719266,-6.00475549697876,0.0,9.94289779663086
1383992719283,-5.673006057739258,0.0,9.923881530761719
1383992719299,-5.341482162475586,0.0,9.902155876159668
1383992719317,-5.010183811187744,0.0,9.87772274017334
1383992719333,-4.679110527038574,0.0,9.850584030151367
1383992719353,-4.348262786865234,0.0,9.820741653442383
1383992719366,-4.017640113830566,0.0,9.788196563720703
1383992719383,-3.687242031097412,0.0,9.752951622009277
1383992719399,-3.3570687770843506,0.0,9.715008735656738
1383992719416,-3.0271201133728027,0.0,9.674368858337402
1383992719433,-2.6973958015441895,0.0,9.631034851074219
1383992719449,-2.3678956031799316,0.0,9.585007667541504
1383992719466,-2.0386195182800293,0.0,9.536290168762207
1383992719485,-1.7095675468444824,0.0,9.484883308410645
1383992719499,-1.3807393312454224,0.0,9.43078899383545
1383992719516,-1.0521347522735596,0.0,9.374009132385254
1383992719533,-0.7237536907196045,0.0,9.314545631408691
1383992719553,-0.3955959677696228,0.0,9.252400398254395
1383992719566,-0.06766143441200256,0.0,9.187575340270996
1383992719583,0.26005005836486816,0.0,9.120072364807129
1383992719600,0.5875386595726013,0.0,9.049893379211426
1383992719616,0.9148045182228088,0.0,8.977039337158203
1383992719633,1.2418477535247803,0.0,8.90151309967041
1383992719653,1.5686686038970947,0.0,8.823315620422363
1383992719668,1.895267128944397,0.0,8.742448806762695
1383992719685,2.2216434478759766,0.0,8.658915519714355
1383992719699,2.547797918319702,0.0,8.57271671295166
1383992719718,2.873730421066284,0.0,8.483854293823242
1383992719733,3.199441432952881,0.0,8.392330169677734
1383992719749,3.524930715560913,0.0,8.29814624786377
1383992719766,3.850198745727539,0.0,8.201303482055664
1383992719783,4.17524528503418,0.0,8.101804733276367
1383992719802,4.500071048736572,0.0,7.9996514320373535
1383992719816,4.824675559997559,0.0,7.894845485687256
1383992719833,5.149059295654297,0.0,7.787388324737549
1383992719850,5.473222732543945,0.0,7.677281856536865
1383992719866,5.797165393829346,0.0,7.564528465270996
1383992719883,6.120887756347656,0.0,7.449129581451416
1383992719899,6.444390296936035,0.0,7.3310866355896
1383992719916,6.767672538757324,0.0,7.210402011871338
1383992719933,7.090734958648682,0.0,7.0870771408081055
1383992719949,7.413577556610107,0.0,6.961113929748535
1383992719966,7.73620080947876,0.0,6.83251428604126
1383992719983,8.05860424041748,0.0,6.701279640197754
1383992719999,8.380788803100586,0.0,6.56741189956665
1383992720020,8.702754020690918,0.0,6.430912971496582
1383992720033,8.375910758972168,-2.4597259198344545e-06,6.3401947021484375
1383992720052,8.04928970336914,-4.917778824164998e-06,6.246816158294678
1383992720066,7.722890853881836,-7.374159849860007e-06,6.150778770446777
